date,start_value,end_value,exact_pnl,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,rho_pnl,explained_pnl,residual_pnl
2025-08-28,42225.852522387955,42192.60905299708,-33.24346939087263,-333.8001364998288,51.265787999698986,385.74854604292443,-141.93755872478891,1.3025824386043974,-37.42077874338988,4.177309352517248
2025-08-29,42305.85967159861,45241.65147812711,2935.7918065284975,-681.2013044554454,225.29015185496252,3327.0392771769907,-142.11954370421049,0.35104649704492097,2729.359627369342,206.43217915915557
2025-09-01,44948.02988921107,46876.764278893694,1928.7343896826205,-71.7385636582149,5.257837947297493,2136.837937575193,-151.97308976436622,-2.418432496514553,1915.9656896033948,12.76870007922571
2025-09-02,46970.02948730314,47545.64303379299,575.6135464898543,-492.4638041917738,449.3805578348478,730.214296151757,-159.39492932021548,-5.260810548495361,522.4753099261202,53.138236563734154
2025-09-03,46589.7453927068,47827.30931046542,1237.56391775862,-302.8924981615755,215.06481181452264,1419.2628667680144,-158.19022573652734,-2.158212350676971,1171.0867423337575,66.47717542486248
2025-09-04,47222.68174058232,47206.54555838047,-16.13618220184435,-67.58654285608638,19.022674148588695,202.71158627438368,-160.7371343449558,-8.148630188441663,-14.738046966511453,-1.3981352353328962
2025-09-05,47180.77291734793,46181.03972350618,-999.7331938417483,422.9990332474056,778.1248185814063,-2315.7382122420286,-160.4896398317458,4.038275158181936,-1271.0657250867805,271.3325312450322
2025-09-08,46310.18967503744,46260.175985452704,-50.01368958473904,67.76673250865596,8.020057697731307,33.0902023799711,-156.8653670536236,-3.2229651290188515,-51.211339596284084,1.1976500115450435
2025-09-09,46484.539405723604,46047.26337944601,-437.2760262775919,-240.19072303313504,99.4437363845621,-134.9341271263468,-157.3752548755791,1.7982193794076349,-431.2581492710912,-6.017877006500669
2025-09-10,45842.91600898429,46334.298679142434,491.382670158142,-372.02062924419187,233.82725866635488,738.9417045285993,-155.21040387584597,2.45376088733156,447.99169096224796,43.39097919589403
2025-09-11,45798.55266330637,45332.265892523326,-466.28677078304463,145.3745841716535,47.22780573352269,-521.0993291057271,-155.3660109742296,-4.902552982494332,-488.7655031572748,22.478732374230162
2025-09-12,45622.60187478484,46657.366344187685,1034.7644694028422,239.62306825115158,103.42544368297759,886.6660972419874,-154.47760413249082,-5.178804321625756,1070.058200722,-35.293731319157814
2025-09-15,47029.99425917767,50415.55377172589,3385.5595125482214,-526.2640424476717,645.4720722216188,3177.184460698795,-159.38595744529914,-5.752373106761938,3131.2541599206816,254.30535262753983
2025-09-16,48780.76531377919,51477.39861653994,2696.633302760747,-168.9241435691619,302.7542453775447,2594.0746398770802,-166.1983643981608,2.639732057090592,2564.3461093443925,132.2871934163545
2025-09-17,50332.6227617549,50912.86699081024,580.2442290553372,-7.040999390848234,40.56950064644459,713.6416724756326,-172.3549050682954,-2.8412428209413085,571.9740258419922,8.270203213344985
2025-09-18,50647.19401890494,52383.876137170024,1736.682118265082,22.444685306224144,474.07279661354215,1325.6633584464303,-173.61198194223084,4.057397467278951,1652.6262558912447,84.05586237383727
2025-09-19,50582.63090759743,49151.40472625705,-1431.2261813403748,-1.3982341024689742,0.07441901894907088,-1264.6275919918176,-173.84844376724888,2.496398723614687,-1437.3034521189718,6.07727077859704
2025-09-22,49338.193789318655,45913.30230788141,-3424.8914814372474,-39.56628635461209,922.3544712604546,-4734.474566735102,-169.22052268086554,-4.671704795560314,-4025.578609305685,600.6871278684375
2025-09-23,46308.67701313006,45923.703670908464,-384.97334222159407,-33.80504343435133,4.949346332105137,-195.93977558915176,-157.29968364885895,-0.6490888307203214,-382.7442451709772,-2.229097050616872
2025-09-24,45992.73313700883,45224.78159812617,-767.9515388826621,159.20617542406058,100.00248415005633,-914.1862327762535,-156.15073776365466,-4.125941989626969,-815.2542529554183,47.3027140727562
2025-09-25,45599.83750287692,45390.80907874588,-209.02842413104372,-210.84866611259628,115.15542045748403,40.8465142756828,-154.43656874916857,0.5222449799802751,-208.76105514861774,-0.2673689824259782
2025-09-26,45080.719026669314,43137.71693658046,-1943.0020900888558,-51.029579066565034,6.960105912000248,-1744.5542591687508,-152.7036513203844,10.980819448477556,-1930.3465641952223,-12.655525893633467
2025-09-29,43215.25062540135,41011.99467059751,-2203.2559548038407,-67.36822218168776,7.054926341654228,-1979.0508367070852,-146.08362907697295,-5.627470293392438,-2191.075231917484,-12.180722886356762
2025-09-30,41113.798433057156,39446.474928045194,-1667.323505011962,-272.5460735344237,64.17937590907403,-1274.8511794870662,-138.19298123884033,-0.8601437175979113,-1622.2710020688542,-45.05250294310781
2025-10-01,39488.39366226834,40707.72552411911,1219.3318618507692,115.10027645290366,8.423932727852531,1247.303262636577,-132.28145173669748,0.24961413566424223,1238.7956342162997,-19.46377236553053
2025-10-02,40867.58201998671,42282.933061939286,1415.3510419525774,9.845491229819773,0.08394553543617204,1553.3571538982592,-137.3592550477533,-3.296500116516655,1422.6308354992452,-7.279793546667861
2025-10-03,42431.597873718565,43028.474696906225,596.8768231876602,17.744880886075087,0.4009938275402368,733.7878754528717,-142.92391478326897,-7.305451700728512,601.7043836824895,-4.827560494829299
2025-10-06,43188.19680390817,44089.15610713385,900.9593032256817,-217.05403930568713,70.73838705589787,1154.1156479197848,-145.45008347086534,2.679152697394652,865.0290648965248,35.93023832915685
2025-10-07,43921.68099067546,43255.54544576361,-666.1355449118491,376.6246035465231,323.85108489770244,-1332.685975378447,-148.3823007997291,2.0539835442305003,-778.5386041897201,112.40305927787097
2025-10-08,43482.86776882739,41585.8499569629,-1897.0178118644908,113.81677191657764,18.691155238597332,-1935.7562949485311,-146.51447503214783,4.535490889162889,-1945.2273519363412,48.20954007185037
2025-10-09,41756.964040279345,43670.730046611454,1913.766006332109,151.82520814654316,19.91533134408687,1921.5520091894878,-140.2210684203034,1.0260018146786904,1954.097482074493,-40.33147574238387
2025-10-10,43899.4651329123,43028.051814114806,-871.4133187974949,286.58544655500657,122.08235605370568,-1202.1795394264536,-148.1191378624352,2.398874978034644,-939.2319997021419,67.81868090464707
2025-10-13,43231.12372372174,43477.6077948452,246.4840711234574,-182.56879902126573,35.14851470241478,529.0538983949638,-145.5494928899063,0.6090071092755129,236.69312829548207,9.790942827975329
2025-10-14,43475.51616361973,43053.44518287808,-422.0709807416497,-141.5554571738329,24.734334785400183,-158.94575518560202,-146.5694252226035,3.7480556348097074,-418.5882471618286,-3.482733579821115
2025-10-15,43080.693022533174,41171.06382768986,-1909.6291948433136,89.78979264738676,9.831077042770673,-1904.7863808629797,-145.32226613897578,2.1943040944809957,-1948.2934732173171,38.664278374003516
2025-10-16,41324.5031091304,41074.455030984296,-250.04807814610103,739.8893664538195,410.98704003190306,-1436.4011596938587,-138.87684801242253,-2.81245539814349,-427.2140566187022,177.16597847260118
2025-10-17,40767.41351262077,41507.64613801728,740.2326253965075,413.35663357982344,87.62642202103315,388.0351840229689,-136.31990349332068,0.37204761816070325,753.0703837486654,-12.837758352157948
2025-10-20,41561.17932010948,44620.153628743494,3058.974308634017,-1312.9670831783187,921.8259284458019,3166.3805618594715,-138.89929458835462,0.00756299140774377,2636.3476755300076,422.6266331040092
2025-10-21,43308.54231751738,41402.42856382923,-1906.1137536881506,158.40168256231752,29.4902964396716,-2015.5874112754975,-145.77899224845817,-0.03570960387939807,-1973.5101341258462,67.3963804376956
2025-10-22,41547.55106342054,39658.45874335703,-1889.0923200635152,-387.0843038620374,104.71510093676946,-1404.6424523920462,-139.2101034769449,0.33606507381979905,-1825.8856937204391,-63.206626343076096
2025-10-23,39700.536524056966,40977.341282451285,1276.804758394319,413.4578872879195,89.01456463817092,953.8354173131795,-132.6147899371451,0.07597390962001714,1323.769053211745,-46.96429481742598
2025-10-24,41065.72960877521,42057.63289993488,991.903291159666,34.43948954800852,0.750298288130935,1100.6386615595575,-137.4505652997314,0.2703065927425735,998.6481906887082,-6.744899529042186
2025-10-27,42208.01350478231,40312.53313788389,-1895.480366898424,287.7501110212978,68.29669430037984,-2222.3398622328345,-141.6751664189032,0.8384857698322289,-2007.1297375602278,111.64937066180369
2025-10-28,40352.99045881769,41470.61125624647,1117.6207974287827,-1029.1407672754565,528.3173038430598,1588.113605711788,-134.7992254270141,0.43247207335914306,952.9233889257364,164.6974085030463
2025-10-29,40924.459367194475,42432.76741698288,1508.3080497884075,300.44418999795164,63.99499040860774,1333.7197589821528,-137.08414412247842,0.832984999726844,1561.9077802659608,-53.599730477553294
2025-10-30,42631.571455081445,41987.10930349364,-644.4621515878025,11.023568994574976,0.12106855712576231,-515.3747942116448,-143.32646615087396,0.3126450521097606,-647.2439777587082,2.781826170905674
2025-10-31,42132.970454128445,41805.015761424336,-327.9546927041083,-151.8522054244737,20.157620948843608,-55.6567498369842,-141.4981885091987,2.431493622267544,-326.41802919954546,-1.5366635045628527
